typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20200101,2020,52,2020,792,TUR,Türkiye,M,Import,0,W00,World,0,W00,World,H5,HS,True,2614,Titanium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,61132036.0,False,8,kg,61132036.0,False,61132036.0,False,0.0,False,20214839.0,16848252.858,20214839.0,0,False,True
C,A,20200101,2020,52,2020,792,TUR,Türkiye,M,Import,36,AUS,Australia,0,W00,World,H5,HS,True,2614,Titanium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,104000.0,False,8,kg,104000.0,False,104000.0,False,0.0,False,146725.0,134165.0,146725.0,0,False,True
C,A,20200101,2020,52,2020,792,TUR,Türkiye,M,Import,380,ITA,Italy,0,W00,World,H5,HS,True,2614,Titanium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8.0,False,8,kg,8.0,False,8.0,False,0.0,False,20.0,1.0,20.0,0,False,True
C,A,20200101,2020,52,2020,792,TUR,Türkiye,M,Import,508,MOZ,Mozambique,0,W00,World,H5,HS,True,2614,Titanium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,174.0,False,8,kg,174.0,False,174.0,False,0.0,False,208.0,69.0,208.0,0,False,True
C,A,20200101,2020,52,2020,792,TUR,Türkiye,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,2614,Titanium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,594008.0,False,8,kg,594008.0,False,594008.0,False,0.0,False,830230.0,712762.564,830230.0,0,False,True
C,A,20200101,2020,52,2020,792,TUR,Türkiye,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,2614,Titanium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11.0,False,8,kg,11.0,False,11.0,False,0.0,False,28.0,1.188,28.0,0,False,True
C,A,20200101,2020,52,2020,792,TUR,Türkiye,M,Import,694,SLE,Sierra Leone,0,W00,World,H5,HS,True,2614,Titanium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,855417.0,False,8,kg,855417.0,False,855417.0,False,0.0,False,1207515.0,1080806.0,1207515.0,0,False,True
C,A,20200101,2020,52,2020,792,TUR,Türkiye,M,Import,704,VNM,Viet Nam,0,W00,World,H5,HS,True,2614,Titanium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,243.0,False,8,kg,243.0,False,243.0,False,0.0,False,290.0,221.0,290.0,0,False,True
C,A,20200101,2020,52,2020,792,TUR,Türkiye,M,Import,710,ZAF,South Africa,0,W00,World,H5,HS,True,2614,Titanium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1648000.0,False,8,kg,1648000.0,False,1648000.0,False,0.0,False,2127500.0,1622807.0,2127500.0,0,False,True
C,A,20200101,2020,52,2020,792,TUR,Türkiye,M,Import,804,UKR,Ukraine,0,W00,World,H5,HS,True,2614,Titanium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5438025.0,False,8,kg,5438025.0,False,5438025.0,False,0.0,False,6883192.0,6292289.0,6883192.0,0,False,True
C,A,20200101,2020,52,2020,792,TUR,Türkiye,M,Import,818,EGY,Egypt,0,W00,World,H5,HS,True,2614,Titanium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,52255100.0,False,8,kg,52255100.0,False,52255100.0,False,0.0,False,8707754.0,6722577.0,8707754.0,0,False,True
C,A,20200101,2020,52,2020,792,TUR,Türkiye,M,Import,842,USA,USA,0,W00,World,H5,HS,True,2614,Titanium ores and concentrates,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,237050.0,False,8,kg,237050.0,False,237050.0,False,0.0,False,311377.0,282554.106,311377.0,0,False,True
